id,brand_name,generic_name,brand_price,generic_price,chronic_keywords,target_patients,health_issues
338,Octreotide Injection,Octreotide 100mcg,2850,2200,"acromegaly, carcinoid tumors (chronic)","Adults with acromegaly, neuroendocrine tumors","Acromegaly, carcinoid syndrome, neuroendocrine tumors"
339,Somatropin Injection,Somatropin 4 IU,3850,3200,growth hormone deficiency (chronic),Children and adults with growth hormone deficiency,"Growth hormone deficiency, short stature"
340,Glargine + Lixisenatide,Insulin Glargine 100 IU + Lixisenatide 33mcg,3850,3200,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, combination insulin and GLP-1 therapy"
341,Insulin + Metformin Combo,Insulin Glargine 100 IU (separate) + Metformin 500mg,1900,1450,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, insulin plus oral agent"
342,Linagliptin 5,Linagliptin 5mg,285,165,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
343,Alogliptin 25,Alogliptin 25mg,325,185,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
344,Rosiglitazone 4,Rosiglitazone 4mg,145,75,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, insulin resistance"
345,Nateglinide + Metformin,Nateglinide 60mg + Metformin 500mg,225,125,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
346,Vildagliptin + Metformin,Vildagliptin 50mg + Metformin 500mg,225,125,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
347,Sitagliptin + Metformin,Sitagliptin 50mg + Metformin 500mg,285,165,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
348,Dapagliflozin + Metformin,Dapagliflozin 10mg + Metformin 500mg,485,285,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, heart and kidney protection"
349,Empagliflozin + Metformin,Empagliflozin 10mg + Metformin 500mg,485,285,"type 2 diabetes, heart failure (chronic)","Adults with type 2 diabetes, heart failure","High blood sugar, heart failure, cardiovascular protection"
350,Amlodipine + Atorvastatin,Amlodipine 5mg + Atorvastatin 10mg,185,95,"hypertension, high cholesterol (chronic)",Adults with high blood pressure and cholesterol,"High blood pressure, high cholesterol"
351,Amlodipine + Telmisartan,Amlodipine 5mg + Telmisartan 40mg,165,88,hypertension (chronic),Adults with high blood pressure,High blood pressure
352,Losartan + Hydrochlorothiazide,Losartan 50mg + Hydrochlorothiazide 12.5mg,125,68,hypertension (chronic),Adults with high blood pressure,High blood pressure
353,Telmisartan + Hydrochlorothiazide,Telmisartan 40mg + Hydrochlorothiazide 12.5mg,145,75,hypertension (chronic),Adults with high blood pressure,High blood pressure
354,Enalapril + Hydrochlorothiazide,Enalapril 5mg + Hydrochlorothiazide 12.5mg,85,45,hypertension (chronic),Adults with high blood pressure,High blood pressure
355,Ramipril + Hydrochlorothiazide,Ramipril 5mg + Hydrochlorothiazide 12.5mg,125,68,hypertension (chronic),Adults with high blood pressure,High blood pressure
356,Perindopril + Amlodipine,Perindopril 5mg + Amlodipine 5mg,225,125,hypertension (chronic),Adults with high blood pressure,High blood pressure
357,Valsartan + Amlodipine,Valsartan 80mg + Amlodipine 5mg,285,165,hypertension (chronic),Adults with high blood pressure,High blood pressure
358,Olmesartan + Amlodipine,Olmesartan 20mg + Amlodipine 5mg,325,185,hypertension (chronic),Adults with high blood pressure,High blood pressure
359,Bisoprolol + Hydrochlorothiazide,Bisoprolol 5mg + Hydrochlorothiazide 6.25mg,145,75,hypertension (chronic),Adults with high blood pressure,High blood pressure
360,Atenolol + Chlorthalidone,Atenolol 50mg + Chlorthalidone 12.5mg,42,22,hypertension (chronic),Adults with high blood pressure,High blood pressure
361,Aspirin + Clopidogrel,Aspirin 75mg + Clopidogrel 75mg,285,165,cardiovascular protection (chronic),"Adults post-MI, post-stroke","Prevention of heart attack and stroke, dual antiplatelet therapy"
362,Aspirin + Atorvastatin,Aspirin 75mg + Atorvastatin 10mg,145,75,cardiovascular protection (chronic),Adults with cardiovascular risk,"Prevention of heart attack, stroke, high cholesterol"
363,Rosuvastatin + Ezetimibe,Rosuvastatin 10mg + Ezetimibe 10mg,425,245,high cholesterol (chronic),Adults with high cholesterol,"High cholesterol, combined therapy"
364,Atorvastatin + Ezetimibe,Atorvastatin 10mg + Ezetimibe 10mg,385,225,high cholesterol (chronic),Adults with high cholesterol,"High cholesterol, combined therapy"
365,Sacubitril + Valsartan,Sacubitril 49mg + Valsartan 51mg,1850,1450,heart failure (chronic),Adults with heart failure,Heart failure with reduced ejection fraction
366,Tramadol + Paracetamol,Tramadol 37.5mg + Paracetamol 325mg,85,45,moderate pain (acute and chronic),Adults with moderate pain,"Moderate pain, post-operative pain"
367,Paracetamol + Caffeine,Paracetamol 500mg + Caffeine 65mg,28,12,"headache, pain (acute)","Adults with headache, pain","Headache, migraine, muscle pain"
368,Diclofenac + Paracetamol,Diclofenac 50mg + Paracetamol 325mg,42,22,"pain, inflammation (acute)",Adults with pain and inflammation,"Arthritis, muscle pain, fever"
369,Aceclofenac + Paracetamol + Serratiopeptidase,Aceclofenac 100mg + Paracetamol 325mg + Serratiopeptidase 15mg,68,35,"pain, inflammation (acute and chronic)",Adults with pain and inflammation,"Arthritis, muscle pain, inflammation, swelling"
370,Diclofenac + Serratiopeptidase,Diclofenac 50mg + Serratiopeptidase 10mg,45,22,"pain, inflammation (acute and chronic)",Adults with pain and inflammation,"Arthritis, muscle pain, inflammation, swelling"
371,Paracetamol + Chlorpheniramine + Phenylephrine,Paracetamol 325mg + Chlorpheniramine 2mg + Phenylephrine 5mg,28,12,"cold, flu (acute)",Adults and children with cold and flu,"Cold, flu, fever, runny nose, nasal congestion"
372,Dextromethorphan + Phenylephrine + Chlorpheniramine,Dextromethorphan 10mg + Phenylephrine 5mg + Chlorpheniramine 2mg,42,22,"cold, cough (acute)",Adults and children with cold and cough,"Cough, cold, nasal congestion, runny nose"
373,Ambroxol + Guaifenesin + Terbutaline,Ambroxol 15mg + Guaifenesin 50mg + Terbutaline 1.25mg,55,28,cough with mucus (acute),Adults and children with productive cough,"Cough with mucus, bronchitis, asthma"
374,Levocetirizine + Montelukast,Levocetirizine 5mg + Montelukast 10mg,125,68,"allergic rhinitis, asthma (chronic)","Adults and children with allergies, asthma","Allergic rhinitis, asthma, runny nose, wheezing"
375,Fexofenadine + Montelukast,Fexofenadine 120mg + Montelukast 10mg,285,165,"allergic rhinitis, asthma (chronic)","Adults with allergies, asthma","Allergic rhinitis, asthma, seasonal allergies"
376,Cetirizine + Ambroxol,Cetirizine 5mg + Ambroxol 60mg,42,22,"allergy, cough (acute)",Adults with allergy and cough,"Allergic cough, runny nose, mucus"
377,Vitamin B1 + B6 + B12,Thiamine 100mg + Pyridoxine 100mg + Methylcobalamin 1500mcg,85,45,"vitamin B deficiency, neuropathy (chronic)","Adults with vitamin B deficiency, nerve damage","Vitamin B deficiency, neuropathy, nerve damage"
378,Calcium + Vitamin D3 + Magnesium,Calcium 500mg + Vitamin D3 250 IU + Magnesium 50mg,145,75,"bone health, osteoporosis (chronic)",Adults with bone health needs,"Osteoporosis, bone health, calcium and vitamin D deficiency"
379,Iron + Folic Acid + Vitamin B12,Ferrous Sulfate 150mg + Folic Acid 1.5mg + Vitamin B12 15mcg,28,12,"anemia, nutritional deficiency (chronic)","Pregnant women, adults with anemia","Anemia, pregnancy nutrition, vitamin deficiency"
380,Glucosamine + Chondroitin + MSM,Glucosamine 500mg + Chondroitin 400mg + MSM 250mg,485,285,"osteoarthritis, joint health (chronic)","Adults with osteoarthritis, joint pain","Osteoarthritis, joint pain, cartilage health"
381,Collagen + Vitamin C + Hyaluronic Acid,Collagen 40mg + Vitamin C 50mg + Hyaluronic Acid 30mg,625,425,"joint health, skin health (chronic)",Adults for joint and skin health,"Joint pain, skin elasticity, anti-aging"
382,Omega-3 + Coenzyme Q10,Omega-3 1000mg + Coenzyme Q10 100mg,485,285,"heart health, cardiovascular protection (chronic)",Adults with cardiovascular risk,"Heart health, high triglycerides, energy production"
383,Multivitamin + Minerals + Antioxidants,Comprehensive formula,225,125,nutritional deficiency (chronic),Adults for general health,"Vitamin and mineral deficiency, immunity, general health"
384,Lycopene + Multivitamin + Multimineral,Lycopene 10mg + Multivitamin + Multimineral,285,165,"antioxidant, nutritional support (chronic)",Adults for antioxidant support,"Antioxidant support, heart health, prostate health"
385,Green Tea Extract + Garcinia Cambogia,Green Tea 250mg + Garcinia Cambogia 500mg,385,225,weight management (chronic),Adults for weight loss,"Weight management, metabolism support, fat burning"
386,Ashwagandha Extract 300,Ashwagandha 300mg,285,165,"stress, anxiety (chronic)","Adults with stress, anxiety, fatigue","Stress, anxiety, fatigue, adaptogenic support"
387,Curcumin 500,Curcumin 500mg,385,225,"inflammation, antioxidant (chronic)","Adults with inflammation, joint pain","Inflammation, joint pain, antioxidant support"
388,Ginkgo Biloba 120,Ginkgo Biloba 120mg,285,165,"memory, circulation (chronic)",Adults for cognitive support,"Memory, cognitive function, circulation"
389,Ginseng Extract 200,Panax Ginseng 200mg,425,245,"energy, immunity (chronic)",Adults for energy and immunity,"Energy, fatigue, immunity, stamina"
390,Tribulus Terrestris 500,Tribulus Terrestris 500mg,325,185,testosterone support (chronic),Adult men for testosterone support,"Low testosterone, libido, muscle building"
391,Fenugreek Extract 500,Fenugreek 500mg,225,125,"blood sugar, lactation (chronic)","Adults with blood sugar issues, nursing mothers","Blood sugar control, lactation support, testosterone"
392,Garlic Extract 500,Garlic 500mg,185,95,cardiovascular health (chronic),Adults for heart health,"High cholesterol, high blood pressure, immunity"
393,Spirulina 500,Spirulina 500mg,325,185,nutritional supplement (chronic),Adults for nutritional support,"Nutritional deficiency, protein supplement, energy"
394,Chlorella 500,Chlorella 500mg,385,225,"detox, nutritional supplement (chronic)",Adults for detox and nutrition,"Detoxification, nutritional support, immunity"
395,Whey Protein Powder,Whey Protein 30g per serving,1850,1450,protein supplement (chronic),Adults and athletes for protein,"Muscle building, recovery, protein supplementation"
396,Creatine Monohydrate 3g,Creatine 3g,625,425,muscle performance (chronic),Athletes for muscle performance,"Muscle strength, athletic performance, recovery"
397,BCAA 5g,Branched Chain Amino Acids 5g,825,625,muscle recovery (chronic),Athletes for muscle recovery,"Muscle recovery, endurance, protein synthesis"
398,L-Carnitine 500,L-Carnitine 500mg,485,285,"weight loss, energy (chronic)",Adults for weight loss and energy,"Weight loss, fat burning, energy production"
399,Alpha Lipoic Acid 300,Alpha Lipoic Acid 300mg,385,225,"antioxidant, diabetic neuropathy (chronic)","Adults with diabetes, neuropathy","Antioxidant support, diabetic nerve pain, blood sugar"
400,Biotin 10000mcg,Biotin 10mg,285,165,"hair, skin, nails (chronic)","Adults for hair, skin, nail health","Hair growth, skin health, nail strength"
401,Silica 50,Silicon Dioxide 50mg,225,125,"hair, skin, nails (chronic)","Adults for hair, skin, nail health","Hair growth, skin elasticity, nail strength"
402,Collagen Peptides Powder,Collagen 10g per serving,1450,1150,"joint health, skin health (chronic)",Adults for joint and skin health,"Joint pain, skin elasticity, anti-aging"
403,Glutamine 5g,L-Glutamine 5g,625,425,"gut health, muscle recovery (chronic)",Adults and athletes for gut and muscle health,"Gut health, muscle recovery, immune support"
404,Probiotics 10 Billion CFU,Lactobacillus + Bifidobacterium 10B CFU,485,285,digestive health (chronic),Adults and children for gut health,"Digestive health, immunity, gut flora balance"
405,Prebiotics Inulin 5g,Inulin 5g,325,185,digestive health (chronic),Adults for gut health,"Digestive health, gut flora support, fiber"
406,Fiber Supplement 5g,Psyllium Husk 5g,225,125,"digestive health, constipation (chronic)","Adults with constipation, gut health","Constipation, digestive health, cholesterol reduction"
407,Apple Cider Vinegar 500,Apple Cider Vinegar 500mg,285,165,"weight loss, blood sugar (chronic)",Adults for weight loss and blood sugar,"Weight loss, blood sugar control, digestion"
408,Berberine 500,Berberine 500mg,485,285,"blood sugar, cholesterol (chronic)",Adults with blood sugar and cholesterol issues,"Blood sugar control, high cholesterol, metabolic health"
409,Cinnamon Extract 500,Cinnamon 500mg,225,125,blood sugar (chronic),Adults with blood sugar issues,"Blood sugar control, insulin sensitivity"
410,Bitter Melon Extract 500,Bitter Melon 500mg,285,165,blood sugar (chronic),"Adults with diabetes, blood sugar issues","Blood sugar control, type 2 diabetes support"
411,Gymnema Sylvestre 400,Gymnema Sylvestre 400mg,325,185,"blood sugar, sugar cravings (chronic)","Adults with diabetes, sugar cravings","Blood sugar control, reduced sugar cravings"
412,Milk Thistle 500,Silymarin 500mg,385,225,liver health (chronic),"Adults with liver disease, detox","Liver protection, liver detox, fatty liver"
413,Dandelion Root 500,Dandelion 500mg,225,125,"liver health, detox (chronic)",Adults for liver and kidney support,"Liver detox, kidney health, diuretic"
414,Turmeric + Black Pepper,Curcumin 500mg + Piperine 5mg,425,245,"inflammation, absorption (chronic)","Adults with inflammation, joint pain","Inflammation, joint pain, enhanced curcumin absorption"
415,Resveratrol 200,Resveratrol 200mg,625,425,"antioxidant, heart health (chronic)",Adults for heart and brain health,"Antioxidant support, heart health, anti-aging"
416,Quercetin 500,Quercetin 500mg,385,225,"antioxidant, immunity (chronic)",Adults for immunity and inflammation,"Antioxidant support, immunity, allergies"
417,Echinacea 400,Echinacea 400mg,225,125,"immunity, cold prevention (chronic)",Adults for immunity support,"Immunity support, cold and flu prevention"
418,Elderberry Extract 500,Elderberry 500mg,325,185,"immunity, cold and flu (acute)",Adults and children for immunity,"Immunity support, cold and flu treatment"
419,Vitamin D3 + K2,Cholecalciferol 1000 IU + Menaquinone 100mcg,385,225,"bone health, cardiovascular (chronic)",Adults for bone and heart health,"Bone health, calcium absorption, cardiovascular health"
420,Magnesium Glycinate 400,Magnesium 400mg,325,185,"muscle, sleep, heart (chronic)",Adults with magnesium deficiency,"Muscle cramps, sleep quality, heart health"
421,Zinc Picolinate 50,Zinc 50mg,185,95,"immunity, wound healing (chronic)","Adults with zinc deficiency, immunity needs","Immunity, wound healing, skin health"
422,Selenium 200mcg,Selenium 200mcg,225,125,"antioxidant, thyroid (chronic)",Adults for antioxidant and thyroid support,"Antioxidant support, thyroid health, immunity"
423,Iodine 150mcg,Potassium Iodide 150mcg,145,75,thyroid health (chronic),Adults with iodine deficiency,"Thyroid function, iodine deficiency prevention"
424,Chromium Picolinate 200mcg,Chromium 200mcg,225,125,blood sugar (chronic),Adults with blood sugar issues,"Blood sugar control, insulin sensitivity"
425,Vanadium 10mg,Vanadyl Sulfate 10mg,285,165,blood sugar (chronic),Adults with diabetes,"Blood sugar control, insulin mimetic"
426,Molybdenum 150mcg,Molybdenum 150mcg,185,95,detox enzyme support (chronic),Adults for detoxification,"Detoxification, enzyme function"
427,Manganese 5mg,Manganese 5mg,145,75,"bone health, antioxidant (chronic)",Adults for bone and metabolic health,"Bone health, metabolism, antioxidant support"
428,Copper 2mg,Copper 2mg,165,88,"iron metabolism, nerve (chronic)",Adults with copper deficiency,"Iron metabolism, nerve function, connective tissue"
429,Boron 3mg,Boron 3mg,185,95,"bone health, testosterone (chronic)",Adults for bone and hormone health,"Bone health, testosterone support"
430,Inositol 500,Inositol 500mg,325,185,"PCOS, mental health (chronic)","Women with PCOS, adults with anxiety","PCOS, anxiety, mood support"
431,Choline 250,Choline Bitartrate 250mg,225,125,"brain health, liver (chronic)",Adults for brain and liver health,"Brain function, liver health, memory"
432,L-Theanine 200,L-Theanine 200mg,385,225,"anxiety, focus (chronic)","Adults with anxiety, stress","Anxiety, stress reduction, focus, relaxation"
433,5-HTP 100,5-Hydroxytryptophan 100mg,425,245,"mood, sleep (chronic)","Adults with depression, sleep issues","Mood support, sleep quality, serotonin support"
434,SAMe 400,S-Adenosyl Methionine 400mg,825,625,"depression, liver, joints (chronic)","Adults with depression, liver disease, arthritis","Depression, liver health, joint pain"
435,St. John's Wort 300,Hypericum Extract 300mg,285,165,mild depression (chronic),Adults with mild depression,"Mild to moderate depression, mood support"
436,Valerian Root 500,Valerian 500mg,225,125,"insomnia, anxiety (chronic)","Adults with sleep problems, anxiety","Insomnia, anxiety, relaxation, sleep quality"
437,Passionflower Extract 250,Passionflower 250mg,285,165,"anxiety, insomnia (chronic)","Adults with anxiety, sleep problems","Anxiety, insomnia, relaxation"
438,Lemon Balm Extract 500,Lemon Balm 500mg,225,125,"anxiety, sleep, digestion (chronic)","Adults with anxiety, sleep problems","Anxiety, insomnia, digestive support"
439,Rhodiola Rosea 500,Rhodiola 500mg,425,245,"stress, fatigue, focus (chronic)","Adults with stress, fatigue","Stress, fatigue, focus, adaptogenic support"
440,Bacopa Monnieri 300,Bacopa 300mg,325,185,"memory, cognitive (chronic)",Adults for cognitive support,"Memory, cognitive function, anxiety reduction"
441,Lion's Mane 500,Lion's Mane Mushroom 500mg,485,285,"brain health, nerve (chronic)",Adults for brain and nerve health,"Brain health, nerve regeneration, cognitive support"
442,Cordyceps 500,Cordyceps Mushroom 500mg,625,425,"energy, athletic performance (chronic)",Athletes and adults for energy,"Energy, stamina, athletic performance, immunity"
443,Reishi 500,Reishi Mushroom 500mg,425,245,"immunity, stress (chronic)",Adults for immunity and stress,"Immunity, stress reduction, sleep quality"
444,Chaga 500,Chaga Mushroom 500mg,485,285,"antioxidant, immunity (chronic)",Adults for antioxidant support,"Antioxidant support, immunity, anti-aging"
445,Maca Root 500,Maca 500mg,325,185,"energy, libido, hormone (chronic)",Adults for energy and hormone balance,"Energy, libido, hormone balance, fertility"
446,Horny Goat Weed 500,Epimedium 500mg,385,225,"libido, erectile function (chronic)",Adult men for sexual health,"Libido, erectile function, energy"
447,Mucuna Pruriens 500,Mucuna 500mg,425,245,"dopamine, mood, Parkinson's (chronic)","Adults with low dopamine, Parkinson's","Dopamine support, mood, Parkinson's symptoms"
448,Phosphatidylserine 100,Phosphatidylserine 100mg,625,425,"memory, cognitive (chronic)",Adults for cognitive support,"Memory, cognitive function, stress reduction"
449,Acetyl L-Carnitine 500,Acetyl L-Carnitine 500mg,485,285,"brain health, energy (chronic)",Adults for brain and energy support,"Brain function, energy, neuroprotection"
450,N-Acetyl Cysteine 600,NAC 600mg,385,225,"antioxidant, liver, respiratory (chronic)",Adults for antioxidant and respiratory support,"Antioxidant support, liver detox, respiratory health"
451,Taurine 500,Taurine 500mg,285,165,"heart, brain, exercise (chronic)",Athletes and adults for heart health,"Heart health, brain function, exercise performance"
452,Glycine 1000,Glycine 1g,325,185,"sleep, collagen, brain (chronic)",Adults for sleep and collagen synthesis,"Sleep quality, collagen production, brain health"
453,L-Arginine 1000,L-Arginine 1g,425,245,"heart, circulation, exercise (chronic)",Adults and athletes for circulation,"Heart health, circulation, exercise performance"
454,L-Citrulline 1000,L-Citrulline 1g,485,285,"circulation, exercise (chronic)",Athletes for circulation and performance,"Circulation, exercise performance, muscle recovery"
455,Beta-Alanine 1500,Beta-Alanine 1.5g,525,325,exercise performance (chronic),Athletes for endurance,"Exercise endurance, muscle performance"
456,HMB 1000,Beta-Hydroxy Beta-Methylbutyrate 1g,825,625,"muscle recovery, strength (chronic)",Athletes for muscle recovery,"Muscle recovery, strength, lean muscle mass"
457,D-Aspartic Acid 1000,D-Aspartic Acid 1g,625,425,testosterone support (chronic),Adult men for testosterone,"Testosterone support, muscle building, libido"
458,Tribestan 250,Tribulus Extract 250mg,425,245,"testosterone, libido (chronic)",Adult men for testosterone and libido,"Testosterone support, libido, athletic performance"
459,Tongkat Ali 200,Eurycoma Longifolia 200mg,625,425,"testosterone, stress (chronic)",Adult men for testosterone and stress,"Testosterone support, stress reduction, libido"
460,Pine Bark Extract 100,Pycnogenol 100mg,825,625,"antioxidant, circulation (chronic)",Adults for antioxidant and circulation,"Antioxidant support, circulation, skin health"
461,Grape Seed Extract 200,Grape Seed 200mg,385,225,"antioxidant, heart (chronic)",Adults for antioxidant and heart health,"Antioxidant support, heart health, circulation"
462,Lutein 20,Lutein 20mg,485,285,eye health (chronic),Adults for eye health,"Eye health, macular degeneration prevention"
463,Zeaxanthin 4,Zeaxanthin 4mg,425,245,eye health (chronic),Adults for eye health,"Eye health, macular health"
464,Bilberry Extract 160,Bilberry 160mg,385,225,"eye health, circulation (chronic)",Adults for eye and circulation health,"Eye health, night vision, circulation"
465,Eyebright Extract 400,Euphrasia 400mg,285,165,"eye health, eye strain (chronic)",Adults with eye strain,"Eye strain, eye health, vision support"
466,Betaine HCl 650,Betaine Hydrochloride 650mg,325,185,"digestion, stomach acid (chronic)",Adults with low stomach acid,"Digestion, stomach acid support, protein absorption"
467,Digestive Enzymes,Amylase + Protease + Lipase,425,245,digestion (chronic),Adults with digestive issues,"Digestion, nutrient absorption, bloating reduction"
468,Papaya Enzyme 500,Papain 500mg,225,125,digestion (chronic),Adults with digestive issues,"Digestion, protein breakdown"
469,Bromelain 500,Bromelain 500mg,385,225,"digestion, inflammation (chronic)",Adults with digestion and inflammation,"Digestion, inflammation, sinusitis"
470,Aloe Vera Extract 200,Aloe Vera 200mg,285,165,"digestive health, skin (chronic)",Adults for digestive and skin health,"Digestive health, constipation, skin health"
471,Slippery Elm 400,Slippery Elm 400mg,325,185,"digestive health, throat (chronic)","Adults with digestive issues, sore throat","Digestive health, sore throat, GERD"
472,Marshmallow Root 500,Marshmallow 500mg,285,165,"digestive health, respiratory (chronic)",Adults with digestive or respiratory issues,"Digestive health, cough, sore throat"
473,DGL Licorice 400,Deglycyrrhizinated Licorice 400mg,325,185,"GERD, ulcers (chronic)","Adults with GERD, stomach ulcers","GERD, heartburn, stomach ulcer support"
474,Mastic Gum 500,Mastic Gum 500mg,625,425,"H. pylori, digestive (chronic)","Adults with H. pylori, digestive issues","H. pylori, digestive health, ulcer support"
475,Artichoke Extract 500,Artichoke 500mg,385,225,"liver, digestion, cholesterol (chronic)",Adults for liver and digestive health,"Liver health, digestion, cholesterol reduction"
476,Beet Root Extract 500,Beet Root 500mg,325,185,"circulation, blood pressure (chronic)",Adults for circulation and BP support,"Circulation, blood pressure support, nitric oxide"
477,Hawthorn Berry 500,Hawthorn 500mg,385,225,"heart health, circulation (chronic)",Adults with heart health needs,"Heart health, circulation, blood pressure support"
478,Cayenne Pepper 500,Capsaicin 500mg,225,125,"circulation, metabolism (chronic)",Adults for circulation and metabolism,"Circulation, metabolism, pain relief"
479,Ginger Extract 500,Ginger 500mg,285,165,"digestion, nausea, inflammation (chronic)","Adults with nausea, inflammation","Nausea, digestion, inflammation, motion sickness"
480,Peppermint Oil 50,Peppermint Oil 50mg,325,185,"IBS, digestion (chronic)","Adults with IBS, digestive issues","IBS, digestive health, bloating"
481,Fennel Seed Extract 500,Fennel 500mg,225,125,"digestion, bloating (chronic)","Adults with bloating, digestive issues","Digestion, bloating, gas relief"
482,Caraway Seed Extract 500,Caraway 500mg,285,165,"digestion, bloating (chronic)","Adults with bloating, digestive issues","Digestion, bloating, gas relief"
483,Black Seed Oil 500,Nigella Sativa 500mg,425,245,"immunity, inflammation (chronic)",Adults for immunity and inflammation,"Immunity, inflammation, respiratory health"
484,Evening Primrose Oil 1000,GLA 1000mg,485,285,"hormonal health, skin (chronic)","Women with PMS, skin issues","PMS, hormonal balance, skin health"
485,Borage Oil 1000,GLA 1000mg,525,325,"inflammation, skin (chronic)","Adults with inflammation, skin issues","Inflammation, rheumatoid arthritis, skin health"
486,Flaxseed Oil 1000,ALA 1000mg,325,185,"omega-3, heart, brain (chronic)",Adults for omega-3 support,"Heart health, brain health, inflammation"
487,Krill Oil 500,Omega-3 + Astaxanthin 500mg,825,625,"omega-3, antioxidant (chronic)",Adults for omega-3 and antioxidant,"Heart health, brain health, joint health"
488,Astaxanthin 12,Astaxanthin 12mg,625,425,"antioxidant, eye, skin (chronic)",Adults for antioxidant support,"Antioxidant support, eye health, skin health"
489,Beta-Carotene 25000 IU,Beta-Carotene 25000 IU,285,165,"antioxidant, vitamin A (chronic)",Adults for antioxidant and vision,"Antioxidant support, vision, immunity"
490,Vitamin A 10000 IU,Retinol 10000 IU,225,125,"vision, immunity, skin (chronic)",Adults with vitamin A deficiency,"Vision, immunity, skin health"
491,Vitamin E 400 IU,Tocopherol 400 IU,325,185,"antioxidant, skin, heart (chronic)",Adults for antioxidant support,"Antioxidant support, skin health, heart health"
492,Vitamin K2 MK-7 100mcg,Menaquinone 100mcg,425,245,"bone, cardiovascular (chronic)",Adults for bone and heart health,"Bone health, cardiovascular health, calcium regulation"
493,Folate 1000mcg,5-MTHF 1mg,385,225,"folate deficiency, pregnancy (chronic)","Pregnant women, adults with folate deficiency","Folate deficiency, pregnancy nutrition, methylation"
494,Vitamin B6 100,Pyridoxine 100mg,185,95,"vitamin B6 deficiency, PMS (chronic)","Adults with B6 deficiency, women with PMS","Vitamin B6 deficiency, PMS, mood support"
495,Vitamin B12 5000mcg,Methylcobalamin 5mg,325,185,"vitamin B12 deficiency, energy (chronic)","Adults with B12 deficiency, fatigue","Vitamin B12 deficiency, energy, nerve health"
496,Niacin 500,Niacin 500mg,225,125,"cholesterol, energy (chronic)",Adults with high cholesterol,"Cholesterol reduction, energy, circulation"
497,Pantothenic Acid 500,Vitamin B5 500mg,285,165,"adrenal support, energy (chronic)",Adults with adrenal fatigue,"Adrenal support, energy, stress management"
498,Riboflavin 100,Vitamin B2 100mg,185,95,"vitamin B2 deficiency, migraine (chronic)","Adults with B2 deficiency, migraines","Vitamin B2 deficiency, migraine prevention, energy"
499,Thiamine 100,Vitamin B1 100mg,145,75,"vitamin B1 deficiency, nerve (chronic)",Adults with B1 deficiency,"Vitamin B1 deficiency, nerve health, energy"
500,Biotin 5000mcg,Biotin 5mg,225,125,"hair, skin, nails (chronic)","Adults for hair, skin, nail health","Hair growth, skin health, nail strength"
